0.21415248488817745, 0.5322569327260757, 1 gram FAI, Kowalski, 1971
0.36765151084809977, 0.5588784671984066, paper stick, Jim Richmond,
0.4202119163695537, 0.6026150386441628, Penny Plane, Jaecks, 1971
0.4330765966404805, 0.6200842720094628, Penny Plane (tandem), McLean, 1971
0.4373500095232048, 0.6397054155291726, Penny Plane, Jaecks, 1973
0.45235724381743503, 0.6615386157604026, 1 gram FAI, Kukon, 1972
0.519945934928108, 0.7075006098192593, FAI tandem, Kukon, 1971
0.5285208290868749, 0.7205991933678395, 1 gram FAI, Kukon, 1972,
0.5660646441829924, 0.7512171324126453, FAI world REcord, Rieke, 1962
0.6390190764830302, 0.7993744758060471, 1 gram FAI, Andrews, 1972
0.6487096892762029, 0.7732608455937633, 1 gram FAI, Radoff, 1971
